,OxicWtGlcDil0p25_Broth-1,OxicWtGlcDil0p25_Broth-2,OxicWtGlcDil0p25_Broth-3,OxicWtGlcDil0p25_Broth-4,OxicWtGlcDil0p25_Broth-5,OxicWtGlcDil0p25_Broth-6,OxicWtGlcDil0p33_Broth-1,OxicWtGlcDil0p33_Broth-2,OxicWtGlcDil0p33_Broth-3,OxicWtGlcDil0p33_Broth-4,OxicWtGlcDil0p33_Broth-5,OxicWtGlcDil0p33_Broth-6,OxicWtGlcDil0p46_Broth-1,OxicWtGlcDil0p46_Broth-2,OxicWtGlcDil0p46_Broth-3,OxicWtGlcDil0p46_Broth-4,OxicWtGlcDil0p46_Broth-5,OxicWtGlcDil0p46_Broth-6,OxicWtGlcDil0p59_Broth-1,OxicWtGlcDil0p59_Broth-2,OxicWtGlcDil0p59_Broth-3,OxicWtGlcDil0p59_Broth-4,OxicWtGlcDil0p59_Broth-5,OxicWtGlcDil0p59_Broth-6
23dpg,0.00526625300000002,0.0116909459999999,0.00809529599999981,0.00419145000000001,0.00628733000000009,0.00704009699999997,0.00732728799999994,0.0109373959999999,0.00977941899999985,0.00505237399999994,0.00497314899999992,0.0138386950000001,0.00739090099999995,0.00902768099999996,0.00955104700000024,0.00770280500000008,0.0127696400000001,0.010089241,0.0201722480000002,0.0144991860000001,0.00720095900000015,0.012739302,0.0113370990000002,0.0061426759999999
AICAr,685.88621949999,846.495284499984,64.2829923000012,545.430466499995,691.139035500003,245.307910600002,673.214202799994,1547.72967580001,404.727169300004,716.397745799982,1333.05630079999,790.427180800004,311.116076700001,2757.0078603,923.36242430002,476.0847373,2753.50260830002,821.132963299991,928.172740499985,583.755966499991,1379.28057849998,1161.18262049999,617.053758500015,1527.4130535
Pool_2pg_3pg,0.150191672999997,0.189094651999997,0.142228716999997,0.139197819000002,0.181730326,0.144718076999996,0.136503751000002,0.174355705000002,0.138785100999999,0.125761703999999,0.167456407000002,0.146309251000001,0.146603881999997,0.268752247000004,0.212275191999999,0.186654696999997,0.248053459000003,0.227250693999998,0.294693108500003,0.283707538500003,0.208670892500003,0.332305238499998,0.320565804500005,0.211515752499998
accoa,0.072980784,0.293461920000002,0.181007112000003,0.0815098279999996,0.305997982999998,0.18804111,0.43309259799999,0.380216318999999,0.464803377000007,0.364058145999995,0.374910699999992,0.479354703000009,0.520632428999992,0.561046943000001,0.684608133999983,0.508003089999992,0.575992025000004,0.706711928000004,0.585294658499996,0.674769748500009,0.578477559500006,0.584226107499994,0.650230866500008,0.621420493499998
acon-C,0.137591936000004,0.147792782,0.0845911830000005,0.140678664999998,0.133432243000001,0.0780625780000007,0.0390744859999997,0.125136491000003,0.0503409290000006,0.0497509850000007,0.112350121000002,0.0333290360000004,0.0472520284999996,0.179255061499997,0.053385705499999,0.0467464795000007,0.159477844500002,0.0711772504999999,0.0884784634999999,0.0596705064999995,0.115165658500001,0.0671667585000004,0.0660749155000014,0.136842738499998
adp,0.0161379929999996,0.0602900660000003,0.10151654728405,0.0177688119999999,0.0676116240000006,0.0963597880000008,0.069688249999999,0.0860678680000006,0.113915453999998,0.0765812860000009,0.0765850460000004,0.103462800000002,0.0810695150000001,0.0908283969999995,0.0997394479999983,0.0852042989999985,0.0877155239999997,0.114266074,0.101606305999998,0.112274262,0.0686996880000006,0.115754773999999,0.107483336000001,0.0743149080000002
adpglc,0.00217738000000001,0.00651443300000016,0.00273238299999999,0.00254934499999998,0.00657442700000011,0.00379984799999997,0.00441970699999996,0.00624382699999987,0.00701881500000011,0.00688957599999989,0.00775465099999995,0.00489945200000006,0.00505908999999995,0.005668405,0.00961248000000004,0.00658603900000008,0.00641732600000001,0.00630545499999991,0.00971665199999987,0.00804238999999996,0.00725134199999999,0.00714417799999991,0.00773215700000018,0.00731840899999986
akg,0.662124189999989,0.999306549000016,0.988007196000011,0.907347397999986,0.907934853000005,1.00697440500002,0.95977507400002,0.839615571999989,0.841331877000009,1.10767428300003,0.559709504000008,1.093830131,0.541859311999999,0.144877468999997,0.417810545000005,0.452336371999994,0.125192632999998,0.414583052000008,0.0462137580000003,0.0373296739999994,0.0534475509999995,0.0551541840000008,0.0348468659999997,0.0346783299999992
amp,0.00744250799999981,0.0267178309999994,0.0296207310000005,0.00712223499999994,0.0269240669999997,0.0322827339999996,0.0333110529999993,0.0309885359999996,0.0364498180000006,0.039346385000001,0.0306511200000008,0.0372452280000003,0.0406529400000005,0.0407819630000004,0.0420490039999995,0.0364315240000005,0.036770457,0.0423598989999995,0.0363681199999994,0.0374802629999996,0.0318196479999997,0.0361651010000009,0.0411563830000004,0.0380762730000008
asn-L,0.0397334649999999,0.038003582999999,0.0433401709999995,0.0623844559999985,0.0229125940000001,0.0390635750000001,0.0787625050000002,0.0592608460000007,0.0323555199999996,0.104965254999999,0.200307097999998,0.0789868009999993,0.122621123000001,0.134740132000001,0.131487003999997,0.116145867,0.111161043999999,0.159308042000001,0.267920616999995,0.170159146000002,0.278042408000001,0.190081273000002,0.220283945000004,0.324079958000005
